

Data generated at Sun Feb 24 15:52:55 2019




Data generated at Sun Feb 24 15:53:07 2019




Data generated at Sun Feb 24 15:53:18 2019




Data generated at Sun Feb 24 15:59:39 2019


SEE, SEI, SIE, SII 4.49696 -5.73116 3.9672 -5.33002 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.30468 -5.44552 4.60694 -5.15572 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.28107 -5.0458 7.09942 -5.14953 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:17:13 2019


SEE, SEI, SIE, SII 5.8455 -5.66911 5.12074 -5.87264 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.52787 -5.21282 7.61799 -5.31596 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.46799 -5.4605 5.75887 -5.86462 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.5015 -5.11047 6.62712 -5.26101 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.73978 -5.76896 2.81755 -5.42645 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.11419 -5.59221 6.10212 -5.79904 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.56275 -5.2051 3.3244 -5.30831 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.78114 -5.48064 2.95477 -5.76101 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.01119 -5.23858 3.09197 -5.98092 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.57745 -5.97033 3.67005 -5.67456 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.27863 -5.7658 3.8585 -5.03799 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.24842 -5.43744 2.28566 -5.927 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:17:23 2019


SEE, SEI, SIE, SII 3.99942 -5.24209 5.55866 -5.19317 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.72736 -5.60843 2.95103 -5.50985 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.78011 -5.84624 5.24237 -5.37449 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.79452 -5.86369 4.97421 -5.94496 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.34065 -5.6894 3.04279 -5.22991 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.7972 -5.2359 2.18624 -5.60579 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.83256 -5.84242 3.88735 -5.64255 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.10157 -5.35813 2.84598 -5.31043 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.38434 -5.11072 3.42101 -5.03397 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.3341 -5.10862 4.3652 -5.4888 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.07519 -5.02002 2.16759 -5.16847 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.11858 -5.02519 3.07562 -5.4018 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:18:00 2019


SEE, SEI, SIE, SII 3.25619 -5.11968 2.31011 -5.7802 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.28498 -5.46272 2.32097 -5.45795 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.98174 -5.94008 3.31279 -5.87082 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.22966 -5.62803 5.9352 -5.03353 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.85441 -5.49667 2.00052 -5.72412 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.00078 -5.93373 7.93263 -5.08038 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.36975 -5.83575 4.04999 -5.1673 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.14964 -5.68011 7.83516 -5.13218 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.70841 -5.87276 4.34348 -5.41786 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.11471 -5.71821 7.82052 -5.39227 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.8567 -5.66713 7.57707 -5.20481 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.58987 -5.37457 7.56188 -5.82863 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:19:08 2019


SEE, SEI, SIE, SII 5.74551 -5.03427 6.12926 -5.22098 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.65105 -5.36293 2.10647 -5.87529 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.3431 -5.70221 6.13961 -5.75893 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.33235 -5.8146 4.79201 -5.06636 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.6468 -5.24532 6.6839 -5.72747 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.19065 -5.71439 3.15698 -5.51275 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.23461 -5.13641 4.61424 -5.29774 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.71882 -5.0465 7.49095 -5.12065 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.71884 -5.71878 4.53705 -5.1692 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.14846 -5.95219 5.20384 -5.45716 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.31158 -5.7611 4.81465 -5.74111 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.66952 -5.06878 2.0838 -5.80042 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:20:33 2019


SEE, SEI, SIE, SII 5.05246 -5.0332 2.15504 -5.08629 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.29373 -5.46254 7.37542 -5.15542 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.97094 -5.70765 6.93212 -5.03813 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.92956 -5.14664 6.52767 -5.75194 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.52017 -5.26326 7.81737 -5.9292 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.06196 -5.15089 2.69322 -5.28434 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.32515 -5.88609 6.85086 -5.61705 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.01281 -5.54147 3.34975 -5.26064 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.23303 -5.33813 5.62701 -5.04047 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.98865 -5.46308 5.90507 -5.5479 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.82734 -5.84328 2.02236 -5.13987 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.3643 -5.84069 5.01662 -5.98544 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:22:01 2019


SEE, SEI, SIE, SII 2.86707 -5.62173 3.40021 -5.71676 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.68623 -5.19181 7.5017 -5.24896 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.09993 -5.13734 4.90681 -5.40146 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.21411 -5.78137 6.11313 -5.60621 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.46457 -5.00224 4.00313 -5.59189 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.25017 -5.78793 2.70936 -5.77663 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.73883 -5.72061 6.1731 -5.78457 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.66891 -5.55261 5.69341 -5.82317 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.20429 -5.08017 2.1674 -5.06466 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.33467 -5.21355 3.03969 -5.28046 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.21936 -5.11148 4.80591 -5.67275 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.49578 -5.61565 3.95955 -5.79975 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:22:17 2019


SEE, SEI, SIE, SII 7.97068 -5.65439 7.01343 -5.39452 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.92387 -5.28484 6.98526 -5.30589 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.41588 -5.47158 5.96041 -5.99986 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.96675 -5.52209 3.49905 -5.3944 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.8719 -5.6535 5.51315 -5.66283 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.79612 -5.78286 2.0283 -5.26935 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.473 -5.87361 7.51232 -5.59957 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.13435 -5.72648 3.78108 -5.23157 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.93815 -5.79039 4.99129 -5.41432 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.50399 -5.96693 7.95889 -5.38806 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.54511 -5.07621 4.66602 -5.76124 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.51833 -5.22446 6.66282 -5.16025 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:23:14 2019


SEE, SEI, SIE, SII 5.60587 -5.03642 2.7152 -5.16134 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.43096 -5.6897 3.94886 -5.84748 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.13519 -5.54559 3.50167 -5.70079 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.54736 -5.2336 4.03014 -5.37211 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.53421 -5.63879 4.88289 -5.95073 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.77035 -5.72689 2.79856 -5.11181 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.26371 -5.70032 6.85281 -5.2221 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.65465 -5.27317 2.96069 -5.23751 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.86536 -5.9452 6.68671 -5.96307 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.93506 -5.65639 2.11134 -5.79295 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.25369 -5.46671 6.10138 -5.58788 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.77097 -5.96863 3.72376 -5.8481 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:24:12 2019


SEE, SEI, SIE, SII 6.67698 -5.03525 7.66554 -5.142 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.73124 -5.18752 5.58886 -5.0977 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.56509 -5.81829 3.91568 -5.99416 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.74446 -5.29181 3.34945 -5.89859 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.00121 -5.43504 6.74911 -5.54306 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.41739 -5.85624 4.52794 -5.67522 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.39378 -5.853 3.71541 -5.45438 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.93176 -5.90478 4.40312 -5.25905 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.85337 -5.86539 3.64691 -5.04693 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.02795 -5.69496 4.67238 -5.46491 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.41252 -5.61642 2.53268 -5.11597 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.91312 -5.77784 4.7163 -5.14116 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:26:34 2019


SEE, SEI, SIE, SII 6.73093 -5.4413 5.40728 -5.54662 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.66119 -5.9932 2.25072 -5.36164 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.14814 -5.05465 6.88103 -5.28883 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.14883 -5.80356 4.21022 -5.28044 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.11668 -5.09058 6.82842 -5.14788 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.93133 -5.39547 4.76519 -5.73377 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.79119 -5.80824 2.3534 -5.92814 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.86877 -5.59245 5.94408 -5.69967 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.0703 -5.81263 5.29005 -5.83407 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.67109 -5.79765 3.0725 -5.03142 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.46552 -5.098 3.79249 -5.88599 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.63649 -5.6603 3.92286 -5.35188 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:27:55 2019


SEE, SEI, SIE, SII 2.17183 -5.81521 5.69144 -5.4455 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.69882 -5.03665 7.25421 -5.00531 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.86032 -5.14634 6.58579 -5.23016 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.76669 -5.83791 3.59627 -5.81581 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.10699 -5.29722 5.66434 -5.72318 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.39705 -5.13205 3.11964 -5.6503 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.76177 -5.41218 3.8441 -5.32965 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.02748 -5.29478 3.9011 -5.61359 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.46888 -5.78648 6.69203 -5.86263 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.52165 -5.15136 7.06259 -5.82911 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.17811 -5.55336 7.99108 -5.96287 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.48048 -5.86993 4.78503 -5.17247 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:30:16 2019


SEE, SEI, SIE, SII 4.64493 -5.30983 6.96815 -5.8804 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.36886 -5.53186 2.10238 -5.81773 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.89337 -5.24367 2.88979 -5.1241 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.50279 -5.31296 5.99269 -5.02416 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.84604 -5.46628 3.31622 -5.45136 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.81275 -5.91607 6.67235 -5.62195 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.57874 -5.46542 2.66115 -5.20283 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.43211 -5.30571 4.958 -5.11602 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.08892 -5.32684 3.89347 -5.33806 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.18223 -5.44234 5.23294 -5.78344 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.53367 -5.71306 6.97066 -5.60351 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.10593 -5.76777 7.40468 -5.77028 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:51:37 2019


SEE, SEI, SIE, SII 4.00759 -5.62452 4.85095 -5.9555 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
